CN1990A_SEX,Year
1.0994307400379506,1945
1.1149628581535196,1946
1.0925619834710745,1947
1.1161536020311011,1948
1.1431730237700386,1949
1.0352281825460368,1950
1.062483660130719,1951
1.0852730041331302,1952
1.0503407342273028,1953
1.0553052027857435,1954
1.0817186183656275,1955
1.0960451977401129,1956
1.0693902689386163,1957
1.1000240442414042,1958
1.1161037394451145,1959
1.0659536541889483,1960
1.033624312964759,1961
1.0654238480478369,1962
1.0916511527996564,1963
1.0545751633986928,1964
1.0736910148674854,1965
1.045558433643151,1966
1.067132867132867,1967
1.0453855704235067,1968
1.0526809441925902,1969
1.0101317122593718,1970
1.0766434892541088,1971
1.026903713027061,1972
1.0426278836509528,1973
1.015493432132031,1974
1.0892990305741983,1975
1.0762383900928794,1976
1.075407026563839,1977
1.032628770777755,1978
1.0634117875899631,1979
1.1048278945015646,1980
1.058455522971652,1981
1.0806716554115714,1982
1.0851999162654387,1983
1.1050909834389695,1984
1.0554136372568284,1985
1.0932934342545326,1986
1.1177821522309712,1987
1.0956719817767653,1988
1.127524620263729,1989
1.1560717196414019,1990
