Han,Minorities,Year
1.1196369636963697,0.8672985781990521,1945
1.1200151917964298,1.0463917525773196,1946
1.0835398230088495,1.22,1947
1.126193724420191,0.9817351598173516,1948
1.1543723973825104,0.99609375,1949
1.0266018306636155,1.155378486055777,1950
1.0570163299197344,1.1556603773584906,1951
1.093444909344491,0.9661016949152542,1952
1.0422798411586078,1.1791044776119404,1953
1.0634885764499122,0.9424242424242424,1954
1.0853907134767837,1.033033033033033,1955
1.0910565338276181,1.1713286713286712,1956
1.061380515508956,1.1945392491467577,1957
1.1011673151750974,1.0855263157894737,1958
1.1154094132817538,1.1261682242990654,1959
1.0625402965828499,1.106060606060606,1960
1.0408662242403073,0.9434782608695652,1961
1.0614831630722663,1.1175,1962
1.096968759665945,1.0251450676982592,1963
1.0569957386363635,1.026639344262295,1964
1.081305114638448,0.9903474903474904,1965
1.041262534933421,1.1,1966
1.0751665080875357,0.9763440860215054,1967
1.0454613429041424,1.0444839857651245,1968
1.0522108843537414,1.058027079303675,1969
1.0111740635819957,0.9981981981981982,1970
1.0750256937307296,1.0959183673469388,1971
1.0311853893866298,0.9818840579710145,1972
1.0473220836390316,0.9943396226415094,1973
1.0071889400921659,1.1033138401559455,1974
1.0890905341307486,1.09126213592233,1975
1.074328678839957,1.0935672514619883,1976
1.0758620689655172,1.0712742980561556,1977
1.031907671418873,1.039647577092511,1978
1.0652549697493519,1.0467836257309941,1979
1.1080878681977036,1.0769230769230769,1980
1.0707598519486174,0.9501915708812261,1981
1.0857490370971012,1.034798534798535,1982
1.0912689173457508,1.0311203319502074,1983
1.1099656357388317,1.064638783269962,1984
1.0590048436811976,1.0255941499085923,1985
1.0987847902783223,1.0449050086355787,1986
1.118659420289855,1.109375,1987
1.1073981070117829,0.9811320754716981,1988
1.131189948263119,1.0932642487046633,1989
1.1665910122560146,1.0637450199203187,1990
