,org_type_x,org_name_x,match_name,match_type,org_rbz_x,org_prv_x,match_rbz,area,rkm,year,cholera,population,o_craft_1849,o_ind_1849,o_serv_1849,o_agr_1849,rural_county
44,Landkreis,Strehlen,STREHLEN,0,Breslau,Schlesien,BRE,324.99878,22.9,1875,3,34405,1750,979,3419,16199,1
45,Landkreis,Striegau,STRIEGAU,0,Breslau,Schlesien,BRE,320.76361,15.22,1875,0,37867,2038,314,3626,14121,1
46,Landkreis,Trebnitz,TREBNITZ,0,Breslau,Schlesien,BRE,806.15558,34.200001,1875,8,50827,2079,784,7401,37348,1
47,Landkreis,Waldenburg,WALDENBURG,0,Breslau,Schlesien,BRE,372.39349,27.190001,1875,0,111213,4135,8512,6691,13249,1
48,Landkreis,Wohlau,WOHLAU,0,Breslau,Schlesien,BRE,784.6214,21.92,1875,2,47083,2159,448,6775,27725,1
49,Landkreis,Bromberg,BROMBERG,0,Bromberg,Posen,BRO,1479.2935,90.010002,1875,18,97731,3200,659,9894,23131,1
50,Landkreis,Chodziesen/Kolmar in Posen,CHODZIESEN,0,Bromberg,Posen,BRO,1100.0387,41.799999,1875,0,54304,1697,464,6067,30692,1
51,Landkreis,Taschrnikow,CZARNIKAU,0,Bromberg,Posen,BRO,1643.0693,68.540001,1875,8,68343,1517,676,8831,24991,1
52,Landkreis,Gnesen,GNESEN,0,Bromberg,Posen,BRO,1188.152,45.639999,1875,14,59720,1523,155,5039,37868,1
53,Landkreis,Inowraclaw/Hohensalza,INOWRAZLAW,0,Bromberg,Posen,BRO,1664.5381,77.129997,1875,172,76219,1875,228,7202,50528,1
54,Landkreis,Mogilnow,MOGILNO,0,Bromberg,Posen,BRO,947.27362,34.57,1875,4,44720,1118,118,4121,27573,1
55,Landkreis,Schubin,SCHUBIN,0,Bromberg,Posen,BRO,1134.0958,0.0,1875,0,56685,1626,463,4514,31779,1
56,Landkreis,Wirsitz,WIRSITZ,0,Bromberg,Posen,BRO,1177.5817,50.459999,1875,0,56696,1696,320,3610,34553,1
57,Landkreis,Wongrowiz,WONGROWITZ,0,Bromberg,Posen,BRO,1271.9598,0.0,1875,0,54438,1081,253,3032,37654,1
58,Landkreis,Berent,BERENT,0,Danzig,Preussen,DAN,1261.4812,0.0,1875,0,44581,600,98,3222,27556,1
59,Stadtkreis,Danzig,DANZIG,2,Danzig,Preussen,DAN,959.78027,11.9,1875,80,91890,5895,696,17470,2916,0
60,Landkreis,Danzig,DANZIG,1,Danzig,Preussen,DAN,118.29139,45.490002,1875,53,77680,1269,275,10538,34531,1
61,Landkreis,Elbing,ELBING,0,Danzig,Preussen,DAN,633.5423,23.73,1875,60,71015,3449,1068,9217,26169,1
62,Landkreis,Carthaus,KARTHAUS,0,Danzig,Preussen,DAN,1399.6865,0.0,1875,1,56645,404,115,3163,36549,1
63,Landkreis,Marienburg,MARIENBURG,0,Danzig,Preussen,DAN,804.74951,37.279999,1875,21,57546,2327,219,10621,27424,1
64,Landkreis,Neustadt,NEUSTADT,0,Danzig,Preussen,DAN,1463.071,50.009998,1875,0,62528,961,256,5653,35288,1
65,Landkreis,Stargard,PREUSSISCH STARGARD,0,Danzig,Preussen,DAN,1429.2941,95.279999,1875,6,73438,1425,698,7496,31499,1
66,Stadtkreis,Barmen,BARMEN,2,Düsseldorf,Rheinland,DUS,5.5828342,3.0999999,1875,20,86469,11181,33004,12106,12238,0
67,Stadtkreis,Duisburg,DUISBURG,2,Düsseldorf,Rheinland,DUS,33.988003,6.5,1875,0,37375,7183,6710,12498,29581,0
68,Landkreis,Düsseldorf,DUSSELDORF,0,Düsseldorf,Rheinland,DUS,402.24091,109.37,1875,77,126742,6792,3771,12509,24372,1
69,Stadtkreis,Elberfeld,ELBERFELD,2,Düsseldorf,Rheinland,DUS,20.735012,4.3000002,1875,2,80568,11181,33004,12106,12238,0
70,Landkreis,Essen,ESSEN,1,Düsseldorf,Rheinland,DUS,225.52451,128.02,1875,14,108565,7183,6710,12498,29581,1
71,Stadtkreis,Essen,ESSEN,2,Düsseldorf,Rheinland,DUS,21.161785,5.8000002,1875,2,54763,7183,6710,12498,29581,0
72,Landkreis,Geldern,GELDERN,0,Düsseldorf,Rheinland,DUS,552.01624,77.5,1875,3,50545,5683,3929,11578,55951,1
73,Landkreis,Gladbach,GLADBACH,0,Düsseldorf,Rheinland,DUS,251.02336,44.360001,1875,0,110659,3478,29518,4020,18140,1
74,Landkreis,Grevenbroich,GREVENBROICH,0,Düsseldorf,Rheinland,DUS,237.37686,26.959999,1875,0,39073,1689,3088,2908,13205,1
75,Landkreis,Kempen,KEMPEN,0,Düsseldorf,Rheinland,DUS,387.43039,92.949997,1875,16,86721,3302,8644,6692,20932,1
76,Landkreis,Kleve,KLEVE,0,Düsseldorf,Rheinland,DUS,496.72119,68.099998,1875,0,47404,3595,750,8458,22765,1
77,Landkreis,Krefeld,KREFELD,0,Düsseldorf,Rheinland,DUS,187.99413,46.849998,1875,6,92685,3979,22689,7123,11130,1
78,Landkreis,Lennep,LENNEP,0,Düsseldorf,Rheinland,DUS,335.26407,30.200001,1875,0,88128,4221,11014,5284,11354,1
79,Landkreis,Mettmann,METTMANN,0,Düsseldorf,Rheinland,DUS,297.76022,57.32,1875,5,58067,11181,33004,12106,12238,1
80,Landkreis,Moers,MORS,0,Düsseldorf,Rheinland,DUS,553.09344,51.369999,1875,0,59587,5683,3929,11578,55951,1
81,Landkreis,Mülheim an der Ruhr,MULHEIM AN DER RUHR,1,Düsseldorf,Rheinland,DUS,438.19028,158.10001,1875,51,124361,7183,6710,12498,29581,1
82,Landkreis,Neuss,NEUSS,0,Düsseldorf,Rheinland,DUS,297.34763,54.91,1875,14,45456,2212,954,5149,18908,1
83,Landkreis,Rees,REES,0,Düsseldorf,Rheinland,DUS,564.99677,91.830002,1875,18,56429,3600,719,6438,21426,1
84,Landkreis,Solingen,SOLINGEN,0,Düsseldorf,Rheinland,DUS,311.66,53.93,1875,4,98347,6911,3908,6730,17918,1
85,Landkreis,Erfurt,ERFURT,0,Erfurt,Sachsen,ERF,358.40866,29.75,1875,0,67363,4712,2975,8277,16653,1
86,Landkreis,Heiligenstadt,HEILIGENSTADT,0,Erfurt,Sachsen,ERF,451.60461,26.209999,1875,0,37970,3602,7649,5842,10972,1
87,Landkreis,Langesalza,LANGENSALZA,0,Erfurt,Sachsen,ERF,415.54672,15.29,1875,0,34506,1939,1657,3753,14326,1
88,Landkreis,Mühlhausen,MUHLHAUSEN,0,Erfurt,Sachsen,ERF,436.12027,25.83,1875,0,52125,4302,6796,4751,10299,1
89,Landkreis,Nordhausen,NORDHAUSEN,0,Erfurt,Sachsen,ERF,487.02151,61.009998,1875,0,65667,4513,8334,5893,9552,1
90,Landkreis,Schleusingen,SCHLEUSINGEN,0,Erfurt,Sachsen,ERF,451.68115,0.0,1875,0,40248,2910,2587,3865,4685,1
91,Landkreis,Weissensee,WEISSENSEE,0,Erfurt,Sachsen,ERF,267.61932,26.280001,1875,0,26711,1259,997,3189,14808,1
92,Landkreis,Worbis,WORBIS,0,Erfurt,Sachsen,ERF,466.18008,30.049999,1875,0,41401,2022,7061,5133,11759,1
93,Landkreis,Ziegenrück,ZIEGENRUCK,0,Erfurt,Sachsen,ERF,212.64331,8.21,1875,0,15154,806,390,972,5935,1
94,Landkreis,Arnswalde,ARNSWALDE,0,Frankfurt,Brandenburg,FRA,1310.5909,32.240002,1875,0,42171,1563,594,5359,21987,1
95,Stadtkreis,Frankfurt a. O.,FRANKFURT,2,Frankfurt,Brandenburg,FRA,71.989998,8.1999998,1875,12,44318,2942,713,10215,6115,0
96,Landkreis,Friedeberg,FRIEDEBERG,0,Frankfurt,Brandenburg,FRA,1092.1874,60.029999,1875,0,54666,2445,512,7294,23296,1
97,Landkreis,Guben,GUBEN,0,Frankfurt,Brandenburg,FRA,1132.7179,91.82,1875,0,64016,2440,1518,4925,25815,1
98,Landkreis,Kalau,KALAU,0,Frankfurt,Brandenburg,FRA,1001.8724,116.89,1875,20,49978,2202,724,4240,28522,1
99,Landkreis,Königsberg N./M.,KONIGSBERG,0,Frankfurt,Brandenburg,FRA,1591.548,20.42,1875,0,92527,3946,1165,13348,32581,1
100,Landkreis,Kottbus,KOTTBUS,0,Frankfurt,Brandenburg,FRA,855.21637,96.029999,1875,3,69168,2064,2067,4448,30775,1
101,Landkreis,Krossen,KROSSEN,0,Frankfurt,Brandenburg,FRA,1325.6721,68.830002,1875,10,60047,2658,1929,7511,26452,1
102,Landkreis,Landsberg a. W.,LANDSBERG,0,Frankfurt,Brandenburg,FRA,1195.2327,59.5,1875,0,80981,2795,774,9546,29713,1
103,Landkreis,Lebus,LEBUS,0,Frankfurt,Brandenburg,FRA,1542.9645,125.93,1875,3,93536,3693,874,11762,33701,1
104,Landkreis,Lübben,LUBBEN,0,Frankfurt,Brandenburg,FRA,979.39185,9.6400003,1875,0,33467,1473,310,3665,17426,1
105,Landkreis,Luckau,LUCKAU,0,Frankfurt,Brandenburg,FRA,1314.0967,104.32,1875,11,60740,2972,2386,5560,28445,1
106,Landkreis,Soldin,SOLDIN,0,Frankfurt,Brandenburg,FRA,1180.5973,0.0,1875,0,46836,1893,570,6537,18085,1
107,Landkreis,Sorau,SORAU,0,Frankfurt,Brandenburg,FRA,1234.7571,106.35,1875,14,90738,3260,3588,8344,30790,1
108,Landkreis,Spremberg,SPREMBERG,0,Frankfurt,Brandenburg,FRA,309.24048,14.84,1875,0,23955,655,712,1263,8430,1
109,Landkreis,Sternberg,STERNBERG,0,Frankfurt,Brandenburg,FRA,2233.1597,90.980003,1875,2,91952,2987,2023,11200,35151,1
110,Landkreis,Züllichau,ZULLICHAU-SCHWIEBUS,0,Frankfurt,Brandenburg,FRA,919.37866,51.220001,1875,3,48941,1958,2138,4474,17141,1
111,Landkreis,Angerburg,ANGERBURG,0,Gumbinnen,Preussen,GUM,897.58893,0.0,1875,1,37102,719,719,129,6494,1
112,Landkreis,Darkehmen,DARKEHMEN,0,Gumbinnen,Preussen,GUM,756.43396,0.0,1875,0,35671,784,784,269,3411,1
113,Landkreis,Goldap,GOLDAP,0,Gumbinnen,Preussen,GUM,1000.2907,0.0,1875,0,42484,1110,1110,236,4853,1
114,Landkreis,Gumbinnen,GUMBINNEN,0,Gumbinnen,Preussen,GUM,750.01923,33.740002,1875,1,45863,1379,1379,240,5883,1
115,Landkreis,Heydekrug,HEYDEKRUG,0,Gumbinnen,Preussen,GUM,814.41882,30.35,1875,0,41433,602,602,42,7015,1
116,Landkreis,Insterburg,INSTERBURG,0,Gumbinnen,Preussen,GUM,1200.1359,86.169998,1875,0,67874,2106,2106,408,7029,1
117,Landkreis,Johannisburg,JOHANNISBURG,0,Gumbinnen,Preussen,GUM,1709.0793,0.0,1875,0,44898,1003,1003,135,7610,1
118,Landkreis,Loetzen,LOTZEN,0,Gumbinnen,Preussen,GUM,925.12585,44.060001,1875,8,39433,959,1044,68,5588,1
119,Landkreis,Lyck,LYCK,0,Gumbinnen,Preussen,GUM,1104.8317,41.049999,1875,0,48167,959,959,137,6862,1
120,Landkreis,Niederung,NIEDERUNG,0,Gumbinnen,Preussen,GUM,879.12756,0.0,1875,1,53721,1245,68,7331,38407,1
121,Landkreis,Oletzko,OLETZKO,0,Gumbinnen,Preussen,GUM,841.2088,0.0,1875,0,39275,854,117,2918,27178,1
122,Landkreis,Pillkallen,PILLKALLEN,0,Gumbinnen,Preussen,GUM,1074.7598,0.0,1875,0,44548,1112,88,6217,30945,1
123,Landkreis,Ragnit,RAGNIT,0,Gumbinnen,Preussen,GUM,1232.499,14.61,1875,0,53116,870,154,3120,26349,1
124,Landkreis,Sensburg,SENSBURG,0,Gumbinnen,Preussen,GUM,1232.1356,0.0,1875,0,47972,945,116,8150,34224,1
125,Landkreis,Stallupönen,STALLUPONEN,0,Gumbinnen,Preussen,GUM,711.96356,21.99,1875,1,45525,1182,170,2861,22963,1
126,Landkreis,Tilsit,TILSIT,0,Gumbinnen,Preussen,GUM,839.20313,42.259998,1875,1,65626,2457,614,10233,33897,1
127,Landkreis,Adenau,ADENAU,0,Koblenz,Rheinland,KOB,544.65289,0.0,1875,0,21224,1038,383,1645,12453,1
128,Landkreis,Ahrweiler,AHRWEILER,0,Koblenz,Rheinland,KOB,355.23734,22.6,1875,0,34381,1674,312,2915,17999,1
129,Landkreis,Altenkirchen,ALTENKIRCHEN,0,Koblenz,Rheinland,KOB,614.33118,36.830002,1875,0,52004,1470,736,3073,31471,1
130,Landkreis,Koblenz,KOBLENZ,0,Koblenz,Rheinland,KOB,314.8132,42.330002,1875,0,70293,5453,1035,10332,17204,1
131,Landkreis,Kochem,KOCHEM,0,Koblenz,Rheinland,KOB,496.41199,0.0,1875,0,36493,1538,207,3698,19327,1
132,Landkreis,Kreuznach,KREUZNACH,0,Koblenz,Rheinland,KOB,577.3103,54.75,1875,0,62966,3915,1485,6362,27227,1
133,Landkreis,Mayen,MAYEN,0,Koblenz,Rheinland,KOB,600.11829,11.87,1875,0,53596,3171,498,4608,23959,1
134,Landkreis,Neuwied,NEUWIED,0,Koblenz,Rheinland,KOB,581.5296,36.150002,1875,0,70631,3302,1206,8906,33956,1
135,Landkreis,St. Goar,SANKT GOAR,0,Koblenz,Rheinland,KOB,460.39343,48.360001,1875,0,37682,1936,295,3663,20486,1
136,Landkreis,Simmern,SIMMERN,0,Koblenz,Rheinland,KOB,571.91144,0.0,1875,0,35619,2424,184,3215,22286,1
137,Landkreis,Wetzlar,WETZLAR,0,Koblenz,Rheinland,KOB,514.62891,40.599998,1875,0,46003,2694,213,4082,25084,1
138,Landkreis,Zell,ZELL,0,Koblenz,Rheinland,KOB,392.50903,0.0,1875,0,29256,1937,343,1826,18651,1
139,Landkreis,Bergheim,BERGHEIM,0,Köln,Rheinland,KOL,367.23053,33.75,1875,1,39849,1972,373,5226,23620,1
140,Landkreis,Bonn,BONN,0,Köln,Rheinland,KOL,309.73428,37.279999,1875,0,73597,3713,1279,7128,27376,1
141,Landkreis,Euskirchen,EUSKIRCHEN,0,Köln,Rheinland,KOL,380.84546,42.25,1875,0,36728,1767,560,3183,16749,1
142,Landkreis,Gummersbach,GUMMERSBACH,0,Köln,Rheinland,KOL,365.44989,4.0700002,1875,0,29354,2650,799,3422,15826,1
143,Stadtkreis,Köln,KOLN,2,Köln,Rheinland,KOL,11.04462,4.5,1875,1,130142,10927,3593,15755,5063,0
144,Landkreis,Köln,KOLN,1,Köln,Rheinland,KOL,454.67938,82.860001,1875,0,107385,2655,1392,4942,35556,1
145,Landkreis,Mühlheim am Rhein,MULHEIM,0,Köln,Rheinland,KOL,396.60562,54.689999,1875,5,63461,2307,3195,5507,22898,1
146,Landkreis,Rheinbach,RHEINBACH,0,Köln,Rheinland,KOL,408.28796,2.3299999,1875,0,30765,1708,386,2541,14159,1
147,Landkreis,Siegkreis,SIEGKREIS,0,Köln,Rheinland,KOL,750.3269,79.620003,1875,1,85431,3236,1144,10171,48766,1
148,Landkreis,Waldbroel,WALDBROL,0,Köln,Rheinland,KOL,309.85379,16.879999,1875,0,22253,798,121,1371,7612,1
149,Landkreis,Wipperfürth,WIPPERFURTH,0,Köln,Rheinland,KOL,332.58902,2.8,1875,0,27317,1365,665,2937,17581,1
150,Landkreis,Allenstein,ALLENSTEIN,0,Königsberg,Preussen,KON,1351.266,43.759998,1875,0,57325,1159,324,5994,25496,1
151,Landkreis,Braunsberg,BRAUNSBERG,0,Königsberg,Preussen,KON,942.28241,20.34,1875,5,51859,2338,252,6848,26818,1
152,Landkreis,Fischhausen,FISCHHAUSEN,0,Königsberg,Preussen,KON,1079.0017,35.099998,1875,0,48617,1322,79,3534,24961,1
153,Landkreis,Friedland,FRIEDLAND,0,Königsberg,Preussen,KON,928.65039,26.139999,1875,1,43762,1649,204,5236,26630,1
154,Landkreis,Gerdauen,GERDAUEN,0,Königsberg,Preussen,KON,857.07208,34.869999,1875,5,37240,1071,120,5226,27410,1
155,Landkreis,Heiligenbeil,HEILIGENBEIL,0,Königsberg,Preussen,KON,913.43024,42.779999,1875,2,45572,1756,245,5144,22348,1
156,Landkreis,Heilsberg,HEILSBERG,0,Königsberg,Preussen,KON,1094.4568,0.0,1875,0,53930,1388,195,7436,32571,1
157,Landkreis,Königsberg,KONIGSBERG,1,Königsberg,Preussen,KON,1065.9343,72.379997,1875,5,50989,1069,253,4312,33450,1
158,Stadtkreis,Königsberg,KONIGSBERG,2,Königsberg,Preussen,KON,5.8585095,3.2,1875,207,116545,8366,1393,18227,1274,0
159,Landkreis,Labiau,LABIAU,0,Königsberg,Preussen,KON,1074.3574,0.0,1875,0,51338,1671,171,5660,39331,1
160,Landkreis,Memel,MEMEL,0,Königsberg,Preussen,KON,853.02881,33.52,1875,3,58535,2454,98,8992,22079,1
161,Landkreis,Mohrungen,MOHRUNGEN,0,Königsberg,Preussen,KON,1270.5565,0.0,1875,0,55118,1533,139,7632,31356,1
162,Landkreis,Neidenburg,NEIDENBURG,0,Königsberg,Preussen,KON,1670.9017,0.0,1875,13,53436,1119,146,4073,30528,1
163,Landkreis,Ortelsburg,ORTELSBURG,0,Königsberg,Preussen,KON,1727.8223,0.0,1875,0,63920,1029,226,6217,31547,1
164,Landkreis,Osterode,OSTERODE,0,Königsberg,Preussen,KON,1546.5674,29.299999,1875,5,64690,1342,234,7494,32855,1
165,Landkreis,Eylau,PREUSSISCH EYLAU,0,Königsberg,Preussen,KON,1197.3112,33.439999,1875,0,55088,1404,224,5482,30230,1
166,Landkreis,Pr. Holland,PREUSSISCH HOLLAND,0,Königsberg,Preussen,KON,873.05249,23.35,1875,1,44312,1355,148,6992,27807,1
167,Landkreis,Rastenburg,RASTENBURG,0,Königsberg,Preussen,KON,870.7832,59.650002,1875,10,43003,1292,175,5876,27754,1
168,Landkreis,Rössel,ROSSEL,0,Königsberg,Preussen,KON,849.55109,34.799999,1875,6,48937,1624,85,5893,24381,1
169,Landkreis,Wehlau,WEHLAU,0,Königsberg,Preussen,KON,1086.2452,28.32,1875,0,48056,1794,869,6793,31545,1
170,Landkreis,Belgard,BELGARD,0,Köslin,Pommern,KOS,1136.3662,43.990002,1875,0,42259,1421,164,1663,18875,1
171,Landkreis,Bütow,BUTOW,0,Köslin,Pommern,KOS,603.99982,0.0,1875,0,23913,585,72,1621,7851,1
172,Landkreis,Dramburg,DRAMBURG,0,Köslin,Pommern,KOS,1184.65,0.0,1875,0,35878,1205,606,2657,17902,1
173,Landkreis,Fürstenthum/Kolberg-Korlin,FURSTENTUM,0,Köslin,Pommern,KOS,2437.4497,52.73,1875,0,110625,4395,639,9455,55375,1
174,Landkreis,Lauenburg,LAUENBURG,0,Köslin,Pommern,KOS,1225.8838,26.59,1875,0,43245,1312,173,5404,27283,1
175,Landkreis,Neustettin,NEUSTETTIN,0,Köslin,Pommern,KOS,2015.3318,0.0,1875,0,72246,2009,422,6031,30404,1
